LocationNameDE,LocationNameEN,Favorites,Capital
Osnabrück,Osnabrück,1,0
Hannover,Hanover,1,1
Hamburg,Hamburg,1,1
Berlin,Berlin,1,1
Düsseldorf,Düsseldorf,1,1
Köln,Cologne,1,0
Frankfurt am Main,Frankfurt am Main,1,0
Mannheim,Mannheim,1,0
Stuttgart,Stuttgart,1,1
München,Munich,1,1
Dresden,Dresden,1,1
Potsdam,Potsdam,0,1
Bremen,Bremen,0,1
Wiesbaden,Wiesbaden,0,1
Schwerin,Schwerin,0,1
Mainz,Mainz,0,1
Saarbrücken,Saarbrücken,0,1
Magdeburg,Magdeburg,0,1
Kiel,Kiel,0,1
Erfurt,Erfurt,0,1
Leipzig,Leipzig,0,0
Dortmund,Dortmund,0,0
Essen,Essen,0,0
Nürnberg,Nuremberg,0,0
Duisburg,Duisburg,0,0
Bochum,Bochum,0,0
Wuppertal,Wuppertal,0,0
Bielefeld,Bielefeld,0,0
Bonn,Bonn,0,0
Münster,Münster,0,0
